street_name,municipality,postcode,count
Mühlenweg,Bosbüll,25923,1
Mühlenweg,Osnabrück,49078,1
Mühlenweg,Thale,06502,1
Mühlenweg,Tetenhusen,24817,1
Mühlenweg,Süderhackstedt,24992,1
Mühlenweg,Streithausen,57629,1
Mühlenweg,Steinfeld,49439,1
Mühlenweg,Steineroth,57518,1
Mühlenweg,Steinefrenz,56414,1
Mühlenweg,Steffeln,54597,1
Mühlenweg,Seesen,38723,1
Mühlenweg,Schönefeld,12529,1
Mühlenweg,Schwarmstedt,29690,1
Mühlenweg,Schapen,48480,1
Mühlenweg,Saterland,26683,1
Mühlenweg,Salem,88682,1
Mühlenweg,Rötgesbüttel,38527,1
Mühlenweg,Roes,56754,1
Mühlenweg,Riedenberg,97792,1
Mühlenweg,Rhaunen,55624,1
Mühlenweg,Reichenbach-Steegen,66879,1
Mühlenweg,Rathen,01824,1
Mühlenweg,Quirla,07646,1
Mühlenweg,Passow,16306,1
Mühlenweg,Owingen,88696,1
Mühlenweg,Theuma,08541,1
Mühlenweg,Traben-Trarbach,56841,1
Mühlenweg,Uetze,31311,1
Mühlgasse,Amberg,92224,1
Mühlgasse,Ittlingen,74930,1
Mühlgasse,Ifta,99831,1
Mühlgasse,Großensee,99837,1
Mühlgasse,Frammersbach,97833,1
Mühlgasse,Erbendorf,92681,1
Mühlgasse,Breitenworbis,37339,1
Mühlgasse,Bolanden,67295,1
Mühlgasse,Blaibach,93476,1
Mühlgasse,Bad Windsheim,91438,1
Mühlgasse,Auwald,89257,1
Mühlfeldstraße,Planegg,82152,1
Mühlenweg,Wahlenau,55491,1
Mühlfeldstraße,Donsieders,66978,1
Mühleweg,Lauterbach,78730,1
Mühlenweg,Zeitz,06711,1
Mühlenweg,Zeil am Main,97475,1
Mühlenweg,Wilhelmshaven,26384,1
Mühlenweg,Wiesentheid,97353,1
Mühlenweg,Wiedensahl,31719,1
Mühlenweg,Wesel,46483,1
Mühlenweg,Werl,59457,1
Mühlenweg,Warendorf,48231,1
Mühlenweg,Osnabrück,49205,1
Mühlenweg,Olbernhau,09526,1
Mühlenweg,Breitenbach am Herzberg,36287,1
Mühlenweg,Odenthal,51519,1
Mühlenweg,Herzebrock-Clarholz,33442,1
Mühlenweg,Hauzenberg,94051,1
Mühlenweg,Harsum,31177,1
Mühlenweg,Hannover,30629,1
Mühlenweg,Halle (Westf.),33790,1
Mühlenweg,Gröningen,39397,1
Mühlenweg,Gehrden,30989,1
Mühlenweg,Gars am Inn,83559,1
Mühlenweg,Gangloffsömmern,99634,1
Mühlenweg,Fuchsmühl,95689,1
Mühlenweg,Frankenthal,01909,1
Mühlenweg,Forstmehren,57635,1
Mühlenweg,Fehl-Ritzhausen,56472,1
Mühlenweg,Fahrenbach,74864,1
Mühlenweg,Esslingen am Neckar,73734,1
Mühlenweg,Ense,59494,1
Mühlengrund,Aschersleben,06449,1
Mühlenweg,Düsseldorf,40489,1
Mühlenweg,Drebber,49457,1
Mühlenweg,Dinkelscherben,86424,1
Mühlenweg,Delbrück,33129,1
Mühlenweg,Deggendorf,94469,1
Mühlenweg,Dannewerk,24867,1
Mühlenweg,Hillerse,38543,1
Mühlenweg,Hirzenhain,63697,1
Mühlenweg,Hodenhagen,29693,1
Mühlenweg,Kropp,24848,1
Mühlenweg,Niederzier,52382,1
Mühlenweg,Neiße-Malxetal,03159,1
Mühlenweg,Namborn,66640,1
Mühlenweg,Merzen,49586,1
Mühlenweg,Marsberg,59929,1
Mühlenweg,Malborn,54426,1
Mühlenweg,Lindern (Oldenburg),49699,1
Mühlenweg,Liebenau,34396,1
Mühlenweg,Lichtenberg/Erzgeb.,09638,1
Mühlenweg,Lasbek,23847,1
Mühlenweg,Kronprinzenkoog,25709,1
Mühlenweg,Hüttingen an der Kyll,54636,1
Mühlenweg,Kronprinzenkoog,25693,1
Mühlenweg,Kleve,25779,1
Mühlenweg,Kiel,24113,1
Mühlenweg,Kerpen,50170,1
Mühlenweg,Kaufungen,34260,1
Mühlenweg,Kasseburg,22958,1
Mühlenweg,Kalkar,47546,1
Mühlenweg,Jöhstadt,09477,1
Mühlenweg,Jesberg,34632,1
Mühlenweg,Ihlienworth,21775,1
Mühlengrund,Quickborn,25451,1
Mühlendamm,Kiel,24113,1
Mühlengasse,Murrhardt,71540,1
Mozartstraße,Riesa,01591,1
Mozartweg,Harsewinkel,33428,1
Mozartweg,Chemnitz,09247,1
Mozartweg,Bönnigheim,74357,1
Mozartstraße,Zangberg,84539,1
Mozartstraße,Wendelstein,90530,1
Mozartstraße,Weinheim,69469,1
Mozartstraße,Waldkraiburg,84478,1
Mozartstraße,Vöhringen,89269,1
Mozartstraße,Vilseck,92249,1
Mozartstraße,Viersen,41749,1
Mozartstraße,Usingen,61250,1
Mozartstraße,Triberg im Schwarzwald,78098,1
Mozartstraße,Trebur,65468,1
Mozartstraße,Themar,98660,1
Mozartstraße,Stuttgart,70180,1
Mozartstraße,Spiesen-Elversberg,66583,1
Mozartstraße,Singen (Hohentwiel),78224,1
Mozartstraße,Schutterwald,77746,1
Mozartstraße,Schortens,26419,1
Mozartstraße,Schemmerhofen,88433,1
Mozartstraße,Rülzheim,76761,1
Mozartstraße,Rödental,96472,1
Mozartstraße,Roßdorf,64380,1
Mozartweg,Herzebrock-Clarholz,33442,1
Mozartweg,Horn-Bad Meinberg,32805,1
Mozartweg,Iggingen,73574,1
Märkische Straße,Espelkamp,32339,1
Mörikestraße,Assamstadt,97959,1
Mörikestraße,Altshausen,88361,1
Mörikestraße,Albershausen,73095,1
Mönchsweg,Langwedel,27299,1
Mönchsweg,Königswinter,53639,1
Mönchsweg,Hude (Oldenburg),27798,1
Mönchstraße,Stuttgart,70191,1
Mönchstraße,Berlin,13597,1
Märkische Straße,Lübeck,23558,1
Märkische Straße,Hoppegarten,15366,1
Märkische Straße,Bebra,36179,1
Mozartweg,Langen,63225,1
Museumstraße,Pforzheim,75172,1
Museumstraße,Peenemünde,17449,1
Murgstraße,Rastatt,76437,1
Muldenweg,Nürnberg,90469,1
Muldenweg,Grünbach,08223,1
Mozartweg,Warthausen,88447,1
Mozartweg,Wardenburg,26203,1
Mozartweg,Schlüsselfeld,96132,1
Mozartweg,Nörvenich,52388,1
Mozartweg,Neuenburg am Rhein,79395,1
Mozartstraße,Rodgau,63110,1
Mozartstraße,Rehau,95111,1
Mörikestraße,Bad Überkingen,73337,1
Mozartstraße,Ravenstein,74747,1
Mozartstraße,Helmstedt,38350,1
Mozartstraße,Hattingen,45529,1
Mozartstraße,Hannover,30173,1
Mozartstraße,Hamm,59077,1
Mozartstraße,Hambühren,29313,1
Mozartstraße,Hamburg,22085,1
Mozartstraße,Halberstadt,38820,1
Mozartstraße,Gutsbezirk Kaufunger Wald,37216,1
Mozartstraße,Garching bei München,85748,1
Mozartstraße,Finnentrop,57413,1
Mozartstraße,Erkelenz,41812,1
Mozartstraße,Eppingen,75031,1
Mozartstraße,Emmendingen,79312,1
Mozartstraße,Ellefeld,08236,1
Mozartstraße,Durmersheim,76448,1
Mozartstraße,Deggingen,73326,1
Mozartstraße,Coswig,01640,1
Mozartstraße,Bötzingen,79268,1
Mozartstraße,Buxheim,87740,1
Mozartstraße,Butzbach,35510,1
Mozartstraße,Brechen,65611,1
Mozartstraße,Brakel,33034,1
Mozartstraße,Bitz,72475,1
Mozartstraße,Herzogenrath,52134,1
Mozartstraße,Illerkirchberg,89171,1
Mozartstraße,Kirchheim am Neckar,74366,1
Mozartstraße,Mering,86415,1
Mozartstraße,Rabenau,35466,1
Mozartstraße,Pforzheim,75181,1
Mozartstraße,Oelde,59302,1
Mozartstraße,Obrigheim,74847,1
Mozartstraße,Obersulm,74182,1
Mozartstraße,Northeim,37154,1
Mozartstraße,Neuwied,56566,1
Mozartstraße,Neunburg vorm Wald,92431,1
Mozartstraße,Münster,48165,1
Mozartstraße,Mönchberg,63933,1
Mozartstraße,Maxdorf,67133,1
Mozartstraße,Kirchheimbolanden,67292,1
Mozartstraße,Manching,85077,1
Mozartstraße,Lüdinghausen,59348,1
Mozartstraße,Lutherstadt Wittenberg,06886,1
Mozartstraße,Leimersheim,76774,1
Mozartstraße,Lauterbach,36341,1
Mozartstraße,Lauda-Königshofen,97922,1
Mozartstraße,Lambsheim,67245,1
Mozartstraße,Köngen,73257,1
Mozartstraße,Köln,50859,1
Mozartstraße,Krailling,82152,1
Mörikestraße,Bad Rappenau,74906,1
Mörikestraße,Biberach an der Riß,88400,1
Mühlengasse,Jülich,52428,1
Mühlbachweg,Guggenhausen,88379,1
Mühlenberg,Eilsleben,39365,1
Mühlenberg,Brühl,50321,1
Mühlenberg,Blankenheim,53945,1
Mühlenberg,Asendorf,27330,1
Mühle,Wiesenbach,86519,1
Mühle,Dessau-Roßlau,06862,1
Mühle,Burladingen,72393,1
Mühle,Braunsbach,74542,1
Mühlbergweg,Schöneck,61137,1
Mühlbergweg,Jonsdorf,02796,1
Mühlbergweg,Holzheim,86684,1
Mühlbergstraße,Sinzing,93161,1
Mühlbergstraße,Großaitingen,86845,1
Mühlbergstraße,Flörsbachtal,63639,1
Mühlberg,Vilshofen an der Donau,94474,1
Mühlberg,Sebnitz,01855,1
Mühlberg,Pemfling,93482,1
Mühlberg,Küps,96328,1
Mühlberg,Ködnitz,95361,1
Mühlberg,Kefferhausen,37351,1
Mühlbachweg,Schaafheim,64850,1
Mühlbachweg,Niederaichbach,84100,1
Mühlbachweg,Michelau in Oberfranken,96247,1
Mühlenberg,Geestland,27607,1
Mühlenberg,Lüdenscheid,58513,1
Mühlenberg,Mülheim an der Ruhr,45479,1
Mühlenbergweg,Potsdam,14469,1
Mühlengasse,Ballenstedt,06493,1
Mühlenfeld,Werlte,49757,1
Mühlenfeld,Neunkirchen-Seelscheid,53819,1
Mühlendamm,Wildeshausen,27793,1
Mühlendamm,Solingen,42659,1
Mühlendamm,Sandbostel,27446,1
Mühlgasse,Leinach,97274,1
Mühlendamm,Hamburg,22087,1
Mühlendamm,Altdöbern,03229,1
Mühlendamm,Aerzen,31855,1
Mühlenbergweg,Niestetal,34266,1
Mühlenberg,Nordharz,38855,1
Mühlenbergweg,Loddin,17459,1
Mühlenbergweg,Barsinghausen,30890,1
Mühlenbergstraße,Schmelz,66839,1
Mühlenbergstraße,Rankwitz,17406,1
Mühlenbergstraße,Horb am Neckar,72160,1
Mühlenberg,Zarrentin am Schaalsee,19246,1
Mühlenberg,Swisttal,53913,1
Mühlenberg,Schwielochsee,15913,1
Mühlenberg,Schnarup-Thumby,24891,1
Mühlenberg,Nordwestuckermark,17291,1
Mühlbachweg,Hunding,94551,1
Mühlbachweg,Eichstegen,88361,1
Mörikestraße,Bingen am Rhein,55411,1
Mühlbachstraße,Steinheim an der Murr,71711,1
Mörikeweg,Calw,75365,1
Mörikeweg,Beimerstetten,89179,1
Mörikestraße,Zeil am Main,97475,1
Mörikestraße,Wiesbaden,65187,1
Mörikestraße,Sachsenheim,74343,1
Mörikestraße,Rhede,46414,1
Mörikestraße,Reilingen,68799,1
Mörikestraße,Oberderdingen,75038,1
Mörikestraße,Oberboihingen,72644,1
Mörikestraße,Neuhausen,75242,1
Mörikestraße,Mönchengladbach,41238,1
Mörikestraße,Metzingen,72555,1
Mörikestraße,Markgröningen,71706,1
Mörikestraße,Leutkirch im Allgäu,88299,1
Mörikestraße,Hülben,72584,1
Mörikestraße,Günzburg,89312,1
Mörikestraße,Essen,45147,1
Mörikestraße,Erolzheim,88453,1
Mörikestraße,Erkenbrechtsweiler,73268,1
Mörikestraße,Engstingen,72829,1
Mörikestraße,Düren,52353,1
Mörikestraße,Bönnigheim,74357,1
Mörikestraße,Bitz,72475,1
Mörikeweg,Gütersloh,33335,1
Mörikeweg,Hechingen,72379,1
Mörikeweg,Lichtenau,91586,1
Möwenweg,Schleswig,24837,1
Mühlbachstraße,Rheinhausen,79365,1
Mühlbachstraße,Oberhaid,96173,1
Mühlbachstraße,Mitterskirchen,84335,1
Mühlbachstraße,Marienfels,56357,1
Mühlbachstraße,Kirchenthumbach,91281,1
Mühlbachstraße,Dornholzhausen,56357,1
Mühlbachstraße,Blankenburg,38889,1
Mühlbachstraße,Altenstadt,89281,1
Möwenweg,Zierow,23968,1
Möwenweg,Solingen,42659,1
Möwenweg,Mönchengladbach,41239,1
Mörikeweg,Urbach,73660,1
Möwenweg,Landshut,84036,1
Möwenweg,Gütersloh,33335,1
Möwenweg,Freiburg (Elbe),21729,1
Möwenweg,Dierhagen,18347,1
Möwenweg,Berlin,12359,1
Möwenweg,Bad Zwischenahn,26160,1
Möwenweg,Bad Wurzach,88410,1
Möwenweg,Bad Münstereifel,53902,1
Möwenstraße,Elsfleth,26931,1
Möwenstraße,Brake,26919,1
Mühlgasse,Langenau,89129,1
Aachener Straße,Euskirchen,53879,1
Mühlgasse,Mücheln (Geiseltal),06249,1
Nelkenweg,Bremen,28219,1
Nelkenweg,Bietigheim-Bissingen,74321,1
Nelkenweg,Berlin,13351,1
Nelkenweg,Bad Waldsee,88339,1
Nelkenweg,Bad Schönborn,76669,1
Nelkenweg,Bad Salzungen,36433,1
Nelkenweg,Altrip,67122,1
Nelkenweg,Abtsgmünd,73453,1
Nelkenstraße,Winterlingen,72474,1
Nelkenstraße,Wesel,46485,1
Nelkenstraße,Weilerswist,53919,1
Nelkenstraße,Weil am Rhein,79576,1
Nelkenstraße,Walluf,65396,1
Nelkenstraße,Völklingen,66333,1
Nelkenstraße,Vohenstrauß,92648,1
Nelkenstraße,Vaterstetten,85598,1
Nelkenstraße,Unterschwaningen,91743,1
Nelkenstraße,Töging a.Inn,84513,1
Nelkenstraße,Steinheim an der Murr,71711,1
Nelkenstraße,Schnaittach,91220,1
Nelkenstraße,Scheeßel,27383,1
Nelkenstraße,Sankt Wolfgang,84427,1
Nelkenstraße,Radevormwald,42477,1
Nelkenstraße,Polch,56751,1
Nelkenweg,Bippen,49626,1
Nelkenweg,Bremerhaven,27576,1
Mühlgasse,Reckendorf,96182,1
Nelkenweg,Denkendorf,73770,1
Nelkenweg,Pfaffenhofen,74397,1
Nelkenweg,Nittendorf,93152,1
Nelkenweg,München,81379,1
Nelkenweg,Mölln,23879,1
Nelkenweg,Loissin,17509,1
Nelkenweg,Linden,35440,1
Nelkenweg,Leipzig,04229,1
Nelkenweg,Kloster Lehnin,14797,1
Nelkenweg,Hillesheim,54576,1
Nelkenweg,Hemer,58675,1
Nelkenweg,Haigerloch,72401,1
Nelkenweg,Güntersleben,97261,1
Nelkenweg,Glan-Münchweiler,66907,1
Nelkenweg,Gerabronn,74582,1
Nelkenweg,Gehrden,30989,1
Nelkenweg,Geeste,49744,1
Nelkenweg,Fröndenberg/Ruhr,58730,1
Nelkenweg,Frontenhausen,84160,1
Nelkenweg,Esslingen am Neckar,73730,1
Nelkenweg,Elchingen,89275,1
Nelkenweg,Ehringshausen,35630,1
Nelkenweg,Dresden,01187,1
Nelkenweg,Dettingen an der Iller,88451,1
Nelkenstraße,Pilsting,94431,1
Nelkenstraße,Peine,31228,1
Nelkenstraße,Ofterdingen,72131,1
Nelkenstraße,Oberdolling,85129,1
Neißestraße,Mettmann,40822,1
Neckarweg,Hanau,63456,1
Neckarweg,Erkrath,40699,1
Neckarstraße,Wuppertal,42117,1
Neckarstraße,Rothenberg,69434,1
Neckarstraße,Plochingen,73207,1
Neckarstraße,Pfungstadt,64319,1
Neckarstraße,Maintal,63477,1
Neckarstraße,Ludwigsburg,71638,1
Neckarstraße,Heiligenhaus,42579,1
Neckarstraße,Graben-Neudorf,76676,1
Neckarstraße,Essen,45219,1
Neckarstraße,Bad Camberg,65520,1
Nebenstraße,Waldems,65529,1
Nebelhornstraße,Stadtbergen,86391,1
Nebelhornstraße,Pöttmes,86554,1
Nebelhornstraße,Marktoberdorf,87616,1
Naundorfer Straße,Hohenbucko,04936,1
Naumburger Straße,Teuchern,06682,1
Naumburger Straße,München,80993,1
Naumburger Straße,Jena,07743,1
Naumburger Straße,Berlin,12057,1
Naumannstraße,München,80997,1
Neißestraße,Mönchengladbach,41199,1
Neißestraße,Saarlouis,66740,1
Neißestraße,Schwäbisch Gmünd,73529,1
Nelkenstraße,Ergoldsbach,84061,1
Nelkenstraße,Neuenkirchen,48485,1
Nelkenstraße,Neubrandenburg,17033,1
Nelkenstraße,Mögglingen,73563,1
Nelkenstraße,Mintraching,93098,1
Nelkenstraße,Mauern,85419,1
Nelkenstraße,Lamstedt,21769,1
Nelkenstraße,Königsbronn,89551,1
Nelkenstraße,Kaufbeuren,87600,1
Nelkenstraße,Jade,26349,1
Nelkenstraße,Frielendorf,34621,1
Nelkenstraße,Dortmund,44289,1
Neißestraße,Weyhe,28844,1
Nelkenstraße,Ditzingen,71254,1
Nelkenstraße,Dillingen/Saar,66763,1
Nelkenstraße,Deggendorf,94469,1
Nelkenstraße,Aurachtal,91086,1
Nelkenstraße,Au am Rhein,76474,1
Nelkenstraße,Albstadt,72461,1
Nelkenstraße,Aichstetten,88317,1
Neißeweg,Langenfeld (Rheinland),40764,1
Neißeweg,Großostheim,63762,1
Neißeweg,Drensteinfurt,48317,1
Nelkenweg,Rheinberg,47495,1
Nelkenweg,Riedering,83083,1
Nelkenweg,Rödental,96472,1
Neue Siedlung,Brachttal,63636,1
Neue Straße,Breidenbach,35236,1
Neue Straße,Borken,34582,1
Neue Straße,Biebelnheim,55234,1
Neue Straße,Bergrheinfeld,97493,1
Neue Straße,Bergen auf Rügen,18528,1
Neue Straße,Bergen an der Dumme,29468,1
Neue Straße,Barnstädt,06268,1
Neue Straße,Bad Salzuflen,32108,1
Neue Straße,Bad Nauheim,61231,1
Neue Straße,Backnang,71522,1
Neue Straße,Artern/Unstrut,06556,1
Neue Straße,Altenglan,66885,1
Neue Straße,Alsfeld,36304,1
Neue Straße,Aerzen,31855,1
Neue Siedlung,Vechelde,38159,1
Neue Siedlung,Südliches Anhalt,06388,1
Neue Siedlung,Schiphorst,23847,1
Neue Siedlung,Rees,46459,1
Neue Siedlung,Olbernhau,09526,1
Neue Siedlung,Markranstädt,04420,1
Neue Siedlung,Mansfeld,06343,1
Neue Siedlung,Hohenmölsen,06679,1
Neue Siedlung,Dippoldiswalde,01744,1
Neue Straße,Calvörde,39359,1
Neue Straße,Creuzburg,99831,1
Neue Straße,Doberschau-Gaußig,02692,1
Neue Straße,Holzminden,37603,1
Neue Straße,Luhden,31711,1
Neue Straße,Ludwigsburg,71642,1
Neue Straße,Lehrte,31275,1
Neue Straße,Langendorf,29484,1
Neue Straße,Krautheim,74238,1
Neue Straße,Kleinostheim,63801,1
Neue Straße,Kirn,55606,1
Neue Straße,Kalbsrieth,06556,1
Neue Straße,Ilsede,31246,1
Neue Straße,Hoyerswerda,02977,1
Neue Straße,Hohenmölsen,06679,1
Neue Straße,Dorf Mecklenburg,23972,1
Neue Straße,Hohenhorn,21526,1
Neue Straße,Helbra,06311,1
Neue Straße,Hagen im Bremischen,27628,1
Neue Straße,Großsolt,24873,1
Neue Straße,Großräschen,01983,1
Neue Straße,Großneuhausen,99625,1
Neue Straße,Friedrichswerth,99869,1
Neue Straße,Freienwill,24991,1
Neue Straße,Flensburg,24939,1
Neue Straße,Fichtenberg,74427,1
Neue Siedlung,Brevörde,37647,1
Neue Siedlung,Borna,04552,1
Nelkenweg,Salzkotten,33154,1
Neue Reihe,Oranienbaum-Wörlitz,06785,1
Neubaustraße,Bischofsheim a.d.Rhön,97653,1
Nettelbeckstraße,Wiesbaden,65195,1
Nettelbeckstraße,München,81929,1
Neptunweg,Bremen,28197,1
Neptunstraße,Öhringen,74613,1
Neptunstraße,Pirmasens,66954,1
Neptunstraße,Heidesee,15754,1
Neptunstraße,Ahlen,59229,1
Nelly-Sachs-Weg,Denkendorf,73770,1
Nelly-Sachs-Straße,Riedstadt,64560,1
Nelly-Sachs-Straße,Emsdetten,48282,1
Nelkenweg,Zierenberg,34289,1
Nelkenweg,Wolnzach,85283,1
Nelkenweg,Wittenberge,19322,1
Nelkenweg,Wismar,23966,1
Nelkenweg,Waabs,24369,1
Nelkenweg,Vöhringen,72189,1
Nelkenweg,Tamm,71732,1
Nelkenweg,Spangenberg,34286,1
Nelkenweg,Seubersdorf in der Oberpfalz,92358,1
Nelkenweg,Selfkant,52538,1
Nelkenweg,Schönebeck (Elbe),39217,1
Nelkenweg,Schwerin,19059,1
Neubaustraße,Triefenstein,97855,1
Neubaustraße,Würzburg,97070,1
Neubergstraße,Güntersleben,97261,1
Neue Gasse,Ellingen,91792,1
Neue Heimat,Zschopau,09405,1
Neue Heimat,Stuhr,28816,1
Neue Heimat,Essen,45359,1
Neue Gasse,Wölfis,99885,1
Neue Gasse,Warza,99869,1
Neue Gasse,Walschleben,99189,1
Neue Gasse,Waiblingen,71332,1
Neue Gasse,Vaihingen an der Enz,71665,1
Neue Gasse,Neu-Ulm,89231,1
Neue Gasse,Heroldsberg,90562,1
Neue Gasse,Calbe (Saale),39240,1
Neubergstraße,Thüngersheim,97291,1
Neue Gasse,Bad Lobenstein,07356,1
Neue Gasse,Bad Langensalza,99947,1
Neue Dorfstraße,Sassenburg,38524,1
Neudorfer Straße,Königswartha,02699,1
Neudorf,Konnersreuth,95692,1
Neudorf,Heiligenstadt,91332,1
Neudorf,Edersleben,06528,1
Neudorf,Alt Tucheband,15328,1
Neuburger Straße,Weichering,86706,1
Neuburger Straße,Passau,94036,1
Naturlehrpfad,Schönberg,91207,1
Naturlehrpfad,Oberharz am Brocken,38899,1
Naturlehrpfad,Neustrelitz,17237,1
Mühlstraße,Ostfildern,73760,1
Mühlweg,Durlangen,73568,1
Mühlweg,Dippoldiswalde,01768,1
Mühlweg,Butzbach,35510,1
Mühlweg,Burkhardtsdorf,09235,1
Mühlweg,Brohl,56754,1
Mühlweg,Breitenberg,94139,1
Mühlweg,Brackenheim,74336,1
Mühlweg,Bingen am Rhein,55411,1
Mühlweg,Bettendorf,56355,1
Mühlweg,Baiersdorf,91083,1
Mühlweg,Bad Kissingen,97688,1
Mühlweg,Bad Aibling,83043,1
Mühlweg,Abenberg,91183,1
Mühlstraße,Zittau,02763,1
Mühlstraße,Winnweiler,67722,1
Mühlstraße,Ulm,89077,1
Mühlstraße,Sulz am Neckar,72172,1
Mühlstraße,Schönbrunn i.Steigerwald,96185,1
Mühlstraße,Schleid,36419,1
Mühlstraße,Salgen,87775,1
Mühlstraße,Ringleben,06556,1
Mühlstraße,Riedenburg,93339,1
Mühlstraße,Pleinfeld,91785,1
Mühlweg,Eschelbronn,74927,1
Mühlweg,Eschlkam,93458,1
Mühlweg,Etzelwang,92268,1
Mühlweg,Kabelsketal,06184,1
